nom produit,numero AMM,Substances actives,identifiant usage,etat usage,dose retenue,dose retenue unite,delai avant recolte jour,catégorie de condition d’emploi,condition d’emploi libelle
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Blé*Désherbage,Autorisé,0.1,L/ha,,Délai de rentrée,Condition: - 6 heures
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Blé*Désherbage,Autorisé,0.1,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application avec un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée .  • pendant l'application  Si application avec tracteur avec cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation .  • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée. "
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Blé*Désherbage,Autorisé,0.1,L/ha,,Délai de rentrée,Condition: - 6 heures
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Blé*Désherbage,Autorisé,0.1,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application avec un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée .  • pendant l'application  Si application avec tracteur avec cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation .  • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée. "
"BELEM 0,8 MG",2090050,cyperméthrine (Cypermethrin) 8.0 g/kg,Maïs doux*Trt Sol*Ravageurs du sol,Autorisé,12.0,kg/ha,,Protection de l'opérateur,Condition: Porter des Gants appropriés pendant les opérations de mélange/chargement.
"BELEM 0,8 MG",2090050,cyperméthrine (Cypermethrin) 8.0 g/kg,Maïs*Trt Sol*Ravageurs du sol,Autorisé,12.0,kg/ha,,Protection de l'opérateur,Condition: Porter des Gants appropriés pendant les opérations de mélange/chargement.
"BELEM 0,8 MG",2090050,cyperméthrine (Cypermethrin) 8.0 g/kg,Tournesol*Trt Sol*Ravageurs du sol,Autorisé,12.0,kg/ha,,Protection de l'opérateur,Condition: Porter des Gants appropriés pendant les opérations de mélange/chargement.
KORIT 420 FS,2120041,zirame (Ziram) 420.0 g/L,Maïs*Trt Sem.*Répulsif Corbeaux,Autorisé,0.6,L/q,,Protection de l'opérateur,"Condition: Pour l''opérateur, porter des gants en nitrile pendant toutes les phases à l'exception de l'ensachage et d'un vêtement de protection catégorie III type 5/6 et d'un appareil de protection respiratoire P2 pendant la phase de nettoyage."
TYRAN,9400336,chlorure de chlorméquat (Chlormequat) 460.0 g/L,Blé*Trt Part.Aer.*Régul. Croiss. Org. Aériens,Autorisé,2.0,L/ha,,Délai de rentrée,Condition: - 6 heures.
TYRAN,9400336,chlorure de chlorméquat (Chlormequat) 460.0 g/L,Blé*Trt Part.Aer.*Régul. Croiss. Org. Aériens,Autorisé,2.0,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application effectuée à l'aide d'un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée .   • pendant l'application  Si application avec tracteur avec cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation .  • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée."
